latitude,longitude,elevation,horizontal_distance_rel,actual_distance_rel,actual_distance,horizontal_distance
50.09388,-122.98874,659,0.00751625611725175,0.00751625611725175,0.00751625611725175,0.00751625611725175
50.09385,-122.98867,659,0.00600520426522604,0.00600520426522604,0.0135214603824778,0.0135214603824778
50.09387,-122.98845,659,0.015850505899762,0.015850505899762,0.0293719662822398,0.0293719662822398
50.09378,-122.98788,659,0.0418744573106705,0.0418744573106705,0.0712464235929103,0.0712464235929103
50.0937673821148,-122.98772858535,659,0.0108919410838707,0.0108919410838707,0.082138364676781,0.082138364676781
50.0937723333371,-122.98772758283,659,0.000555176161835818,0.000555176161835818,0.0826935408386168,0.0826935408386168
50.093784378415,-122.987660527605,659,0.00496736982002251,0.00496736982002251,0.0876609106586393,0.0876609106586393
50.0937895405903,-122.98759079017,659,0.00500773978717121,0.00500773978717121,0.0926686504458105,0.0926686504458105
50.0937878198652,-122.987411082166,697,0.0128209327763189,0.040104567286718,0.132773217732528,0.105489583222129
50.0937568478312,-122.987199187654,697,0.015502911042822,0.015502911042822,0.14827612877535,0.120992494264951
50.0937121089294,-122.987083852667,702,0.00961452061631996,0.0108369279171563,0.159113056692507,0.130607014881271
50.0936604870678,-122.987006068605,702,0.00798356317112684,0.00798356317112684,0.167096619863634,0.138590578052398
50.0936381175772,-122.986823678392,702,0.0132465087375765,0.0132465087375765,0.18034312860121,0.151837086789975
50.0936243517316,-122.986635923761,702,0.0134807410347234,0.0134807410347234,0.193823869635933,0.165317827824698
50.0936226328791,-122.986381113905,702,0.0181779775120406,0.0181779775120406,0.212001847147974,0.183495805336739
50.0936415609164,-122.98620408811,702,0.0128024007874628,0.0128024007874628,0.224804247935437,0.196298206124201
50.0936363987252,-122.986061931032,702,0.0101570666846509,0.0101570666846509,0.234961314620088,0.206455272808852
50.0936105877605,-122.98593050279,702,0.00980494835757119,0.00980494835757119,0.244766262977659,0.216260221166424
50.0935451999212,-122.98582321443,702,0.0105565178650099,0.0105565178650099,0.255322780842669,0.226816739031433
50.093486696784,-122.985734701532,702,0.00906567270059823,0.00906567270059823,0.264388453543267,0.235882411732032
50.0934471198422,-122.985630095381,702,0.00866315928137434,0.00866315928137434,0.273051612824641,0.244545571013406
50.0933868939986,-122.985466480631,702,0.0134563376844978,0.0134563376844978,0.286507950509139,0.258001908697904
50.0932526761317,-122.985380649942,726,0.0161314873503409,0.0289175532183172,0.315425503727457,0.274133396048245
50.0931718035169,-122.985353827852,726,0.00919392872644338,0.00919392872644338,0.3246194324539,0.283327324774688
50.0930393057995,-122.985431611913,702,0.0157433437517405,0.0287028373594923,0.353322269813392,0.299070668526429
50.0929092589024,-122.985400750734,726,0.0146271791927342,0.028106126932332,0.381428396745724,0.313697847719163
50.09291,-122.98538,726,0.00148257672777818,0.00148257672777818,0.382910973473502,0.315180424446941
50.0929030473869,-122.985356534913,726,0.00184382091607843,0.00184382091607843,0.384754794389581,0.317024245363019
50.0929021400019,-122.985353472506,726,0.000240635628705566,0.000240635628705566,0.384995430018286,0.317264880991725
50.09283,-122.98511,726,0.0191314042920854,0.0191314042920854,0.404126834310372,0.33639628528381
50.09262,-122.9848,726,0.032160734636463,0.032160734636463,0.436287568946835,0.368557019920273
50.09262,-122.9848,726,0,0,0.436287568946835,0.368557019920273
50.09258,-122.98469,726,0.00901994124643845,0.00901994124643845,0.445307510193273,0.377576961166712
50.09256,-122.98459,726,0.00747230950597691,0.00747230950597691,0.45277981969925,0.385049270672689
50.0925750262973,-122.984507355365,726,0.00612781216951194,0.00612781216951194,0.458907631868762,0.391177082842201
50.0925769972526,-122.984500023583,726,0.00056708798166358,0.00056708798166358,0.459474719850426,0.391744170823864
50.0925764067753,-122.984499762739,726,0.000068243930205776,0.000068243930205776,0.459542963780631,0.39181241475407
50.09258,-122.98448,726,0.00146533801597131,0.00146533801597131,0.461008301796603,0.393277752770041
50.09262,-122.98443,726,0.00570134229583795,0.00570134229583795,0.466709644092441,0.398979095065879
50.0926228837649,-122.984428846494,726,0.000331049994574242,0.000331049994574242,0.467040694087015,0.399310145060454
50.0926344013362,-122.984424239466,726,0.00132219233315454,0.00132219233315454,0.468362886420169,0.400632337393608
50.09277,-122.98437,726,0.0155664325946012,0.0155664325946012,0.483929319014771,0.416198769988209
50.09277,-122.98437,726,0,0,0.483929319014771,0.416198769988209
50.09277,-122.98437,726,0,0,0.483929319014771,0.416198769988209
50.09301,-122.98436,726,0.0266963151880605,0.0266963151880605,0.510625634202831,0.44289508517627
50.09329,-122.98422,726,0.0326971467504972,0.0326971467504972,0.543322780953328,0.475592231926767
50.0934,-122.98412,726,0.0141596684384431,0.0141596684384431,0.557482449391771,0.48975190036521
50.09361,-122.98377,726,0.0341853836633181,0.0341853836633181,0.59166783305509,0.523937284028528
50.0940253186763,-122.983361274599,722,0.054615162453441,0.0547614460164791,0.646429279071569,0.578552446481969
50.0940274622907,-122.983359164095,722,0.000281923899425303,0.000281923899425303,0.646711202970994,0.578834370381395
50.09424,-122.98315,769,0.027949061225243,0.0546822642487707,0.701393467219765,0.606783431606638
50.09453,-122.98311,769,0.0323725245799805,0.0323725245799805,0.733765991799745,0.639155956186618
50.09458,-122.98304,769,0.00747292840143645,0.00747292840143645,0.741238920201182,0.646628884588055
50.09458,-122.98298,769,0.00428004083921879,0.00428004083921879,0.7455189610404,0.650908925427273
50.09458,-122.98298,769,0,0,0.7455189610404,0.650908925427273
50.09458,-122.98298,769,0,0,0.7455189610404,0.650908925427273
